"exposure","outcome","model","term","beta","lo","hi","p","p_trend"
"URXMOH_z","homa_ir_log","M2","q_Q3_vs_Q1",0.0775211299232634,-0.00457846883954732,0.159620728686074,0.0680485513350315,0.0221754149367595
"URXMOH_z","homa_ir_log","M2","q_Q4_vs_Q1",0.112590557731112,0.0213339795223854,0.203847135939838,0.0179598059948702,0.0221754149367595
"URXECP_z","homa_ir_log","Crude","q_Q2_vs_Q1",0.15219072503523,0.0339678183958522,0.270413631674607,0.0133666294343034,0.000718278763911812
"URXECP_z","homa_ir_log","Crude","q_Q3_vs_Q1",0.228202846149736,0.122132215119101,0.33427347718037,5.83944196809561e-05,0.000718278763911812
"URXECP_z","homa_ir_log","Crude","q_Q4_vs_Q1",0.249174404853901,0.142340864934377,0.356007944773425,1.52107842560833e-05,0.000718278763911812
"URXECP_z","homa_ir_log","M1","q_Q2_vs_Q1",0.12818874788026,0.010733503312208,0.245643992448313,0.0352947041356063,0.00116914894506838
"URXECP_z","homa_ir_log","M1","q_Q3_vs_Q1",0.205023605242635,0.101159149186531,0.308888061298738,0.000213567053522122,0.00116914894506838
"URXECP_z","homa_ir_log","M1","q_Q4_vs_Q1",0.232018841326313,0.124694280388258,0.339343402264368,5.71565950290028e-05,0.00116914894506838
"URXECP_z","homa_ir_log","M2","q_Q2_vs_Q1",0.0758807265350813,-0.00256552474160486,0.154326977811767,0.0617252322246913,0.00509694200509759
"URXECP_z","homa_ir_log","M2","q_Q3_vs_Q1",0.0888382188383068,0.00759104448283587,0.170085393193778,0.0352611527669378,0.00509694200509759
"URXECP_z","homa_ir_log","M2","q_Q4_vs_Q1",0.153168771452851,0.0654769200047707,0.240860622900931,0.000993450537640593,0.00509694200509759
"sum_dehp_mol_z","homa_ir_log","Crude","q_Q2_vs_Q1",0.124109763891389,0.0163860051897471,0.23183352259303,0.0263274686047652,0.000451095802532918
"sum_dehp_mol_z","homa_ir_log","Crude","q_Q3_vs_Q1",0.196220604440947,0.0867076135271002,0.305733595354795,0.000694770188024241,0.000451095802532918
"sum_dehp_mol_z","homa_ir_log","Crude","q_Q4_vs_Q1",0.241219150312206,0.132043306711377,0.350394993913034,3.81880026971685e-05,0.000451095802532918
"sum_dehp_mol_z","homa_ir_log","M1","q_Q2_vs_Q1",0.104456168288368,-0.00312504059497823,0.212037377171714,0.0604170640471915,0.000820037224405495
"sum_dehp_mol_z","homa_ir_log","M1","q_Q3_vs_Q1",0.16979949092263,0.0582465377195931,0.281352444125667,0.00372014786774034,0.000820037224405495
"sum_dehp_mol_z","homa_ir_log","M1","q_Q4_vs_Q1",0.224060432072985,0.113328243265087,0.334792620880884,0.000151950917356677,0.000820037224405495
