"exposure","outcome","model","term","OR","lo","hi","p","p_trend"
"sum_hmw_z","ir_binary_asian","M2","q_Q2_vs_Q1",1.44576157690275,0.967367114994671,2.16073764018726,0.0760702843921505,0.0807418394868236
"sum_hmw_z","ir_binary_asian","M2","q_Q3_vs_Q1",1.65803516191712,1.10015676449364,2.49880806706562,0.0180561690911429,0.0807418394868236
"sum_hmw_z","ir_binary_asian","M2","q_Q4_vs_Q1",1.60695650669911,1.08416306860235,2.38184576583263,0.020679803447417,0.0807418394868236
"sum_lmw_z","ir_binary_asian","Crude","q_Q2_vs_Q1",1.26774904468753,0.89107556335117,1.80364910273355,0.19051864316984,0.261447226164089
"sum_lmw_z","ir_binary_asian","Crude","q_Q3_vs_Q1",1.42365456703919,1.06867987806179,1.8965383066138,0.0177835087250167,0.261447226164089
"sum_lmw_z","ir_binary_asian","Crude","q_Q4_vs_Q1",1.32341154492149,0.948753736315116,1.84601973114105,0.102349911663146,0.261447226164089
"sum_lmw_z","ir_binary_asian","M1","q_Q2_vs_Q1",1.19847158244515,0.842870328416031,1.70409858492446,0.316251482501811,0.490887046195174
"sum_lmw_z","ir_binary_asian","M1","q_Q3_vs_Q1",1.37361949750706,1.02870375109089,1.83418260303869,0.0342471978940112,0.490887046195174
"sum_lmw_z","ir_binary_asian","M1","q_Q4_vs_Q1",1.22316580643181,0.867110740416743,1.72542504698411,0.254333007789536,0.490887046195174
"sum_lmw_z","ir_binary_asian","M2","q_Q2_vs_Q1",1.11602568440457,0.718544882433628,1.73338278331659,0.626472401480733,0.808951956657115
