"exposure","cutoff","outcome","model_spec","subset","estimate","conf.low","conf.high","p.value","n","direction","sig","effect_sign","spec_id","estimate_pretty","p_pretty"
"sum_hmw","Q3vsQ1","homa_ir_log","M1","Male",0.241540200198571,0.0710024616975983,0.412077938699543,0.00604856359612289,1130,"positive",TRUE,1,80,"0.242 (0.071-0.412)","0.00605"
"sum_dehp_mol","Q4vsQ1","homa_ir_log","M1","Fasting>=10h",0.252461947216019,0.136439578623217,0.368484315808821,4.11094849087604e-05,2005,"positive",TRUE,1,81,"0.252 (0.136-0.368)","4.11e-05"
"sum_hmw","Q3vsQ1","homa_ir_log","M1","Age<60",0.266968032748715,0.1368262416608,0.39710982383663,0.000101681315036806,1620,"positive",TRUE,1,82,"0.267 (0.137-0.397)","0.000102"
"sum_dehp_mol","Q3vsQ1","homa_ir_log","M1","Age<60",0.268287550503841,0.145001225330462,0.39157387567722,4.10617125249067e-05,1620,"positive",TRUE,1,83,"0.268 (0.145-0.392)","4.11e-05"
"sum_hmw","Q4vsQ1","homa_ir_log","M1","Male",0.273370580900959,0.12821560448292,0.418525557318997,0.000329444835390046,1130,"positive",TRUE,1,84,"0.273 (0.128-0.419)","0.000329"
"sum_dehp_mol","Q4vsQ1","homa_ir_log","M1","Male",0.275128891854319,0.128041892098437,0.422215891610201,0.000359209343557957,1130,"positive",TRUE,1,85,"0.275 (0.128-0.422)","0.000359"
"sum_dehp_mol","Q3vsQ1","homa_ir_log","M1","Male",0.284890228685168,0.130382166837776,0.439398290532559,0.000429734234929284,1130,"positive",TRUE,1,86,"0.285 (0.130-0.439)","0.00043"
"sum_dehp_mol","Q4vsQ1","homa_ir_log","M1","Age<60",0.301280752031516,0.167335027751119,0.435226476311914,2.38020158928252e-05,1620,"positive",TRUE,1,87,"0.301 (0.167-0.435)","2.38e-05"
"sum_hmw","Q4vsQ1","homa_ir_log","M1","Age<60",0.314340626326355,0.177872841815797,0.450808410836913,1.57993051161961e-05,1620,"positive",TRUE,1,88,"0.314 (0.178-0.451)","1.58e-05"
"sum_hmw","Q2vsQ1","ir_binary","M2","Male",1.00119274911752,0.58591589278732,1.71080343309506,0.996474108025821,1130,"positive",FALSE,1,89,"1.001 (0.586-1.711)","0.996"
"sum_dehp_mol","Q3vsQ1","ir_binary","M2","Crude",1.05695969863929,0.72111098762021,1.5492258802414,0.773631885311142,2239,"positive",FALSE,1,90,"1.057 (0.721-1.549)","0.774"
"sum_lmw","Q4vsQ1","ir_binary","M2","Age<60",1.07358451488041,0.65665583274637,1.75523257864092,0.774312546364728,1620,"positive",FALSE,1,91,"1.074 (0.657-1.755)","0.774"
"sum_lmw","Q2vsQ1","ir_binary","M1","Male",1.08463550488618,0.711942545448624,1.65242853651678,0.702128017974678,1130,"positive",FALSE,1,92,"1.085 (0.712-1.652)","0.702"
"sum_dehp_mol","Q2vsQ1","ir_binary","M2","Male",1.09516917637531,0.658855136373228,1.82042372999449,0.722462404871818,1130,"positive",FALSE,1,93,"1.095 (0.659-1.820)","0.722"
"sum_lmw","Q4vsQ1","ir_binary","M2","Fasting>=10h",1.09995269832143,0.724165960578591,1.67074400677147,0.651069940974174,2005,"positive",FALSE,1,94,"1.100 (0.724-1.671)","0.651"
"sum_dehp_mol","Q3vsQ1","ir_binary","M2","Fasting>=10h",1.11343124049954,0.737888949399498,1.68010257956737,0.604347115052024,2005,"positive",FALSE,1,95,"1.113 (0.738-1.680)","0.604"
"sum_lmw","Q3vsQ1","ir_binary","M1","Age<60",1.13040835832798,0.768069531100443,1.66368148303836,0.529957021678048,1620,"positive",FALSE,1,96,"1.130 (0.768-1.664)","0.53"
"sum_lmw","Q4vsQ1","ir_binary","M2","Crude",1.14218655777226,0.767461420141165,1.69987715149993,0.507340798085608,2239,"positive",FALSE,1,97,"1.142 (0.767-1.700)","0.507"
"sum_lmw","Q3vsQ1","ir_binary","M1","Male",1.15040962254135,0.771639067070386,1.71510535963444,0.487277313363535,1130,"positive",FALSE,1,98,"1.150 (0.772-1.715)","0.487"
"sum_dehp_mol","Q2vsQ1","ir_binary","M1","Crude",1.15396333695828,0.860180270571016,1.54808408028228,0.335265144431447,2239,"positive",FALSE,1,99,"1.154 (0.860-1.548)","0.335"
"sum_hmw","Q2vsQ1","ir_binary","M1","Crude",1.16914310875012,0.854365216831422,1.59989613552772,0.324708518184362,2239,"positive",FALSE,1,100,"1.169 (0.854-1.600)","0.325"
"sum_lmw","Q3vsQ1","ir_binary","M1","Fasting>=10h",1.17318484499319,0.847243513945174,1.62451840334863,0.3319961679337,2005,"positive",FALSE,1,101,"1.173 (0.847-1.625)","0.332"
"sum_lmw","Q3vsQ1","ir_binary","M1","Crude",1.17360243916813,0.858201480932508,1.60491762811314,0.31209587216199,2239,"positive",FALSE,1,102,"1.174 (0.858-1.605)","0.312"
"sum_hmw","Q2vsQ1","ir_binary","M1","Fasting>=10h",1.17431271365088,0.833657716440988,1.65416851814111,0.353731305615172,2005,"positive",FALSE,1,103,"1.174 (0.834-1.654)","0.354"
