"variable","label","n","threshold","pos_rate","tp_rate","fp_rate","harm","net_benefit"
"p_aug","Covariates + Phthalate",2239,0.17,0.474318892362662,0.462259937472086,0.385886556498437,0,0.383222931924213
"p_aug","Covariates + Phthalate",2239,0.18,0.474318892362662,0.461366681554265,0.374274229566771,0,0.379208923844486
"p_aug","Covariates + Phthalate",2239,0.19,0.474318892362662,0.459580169718624,0.362215274676195,0,0.374616092942727
"p_aug","Covariates + Phthalate",2239,0.2,0.474318892362662,0.456900401965163,0.351049575703439,0,0.369138008039303
"p_aug","Covariates + Phthalate",2239,0.21,0.474318892362662,0.45154086645824,0.338990620812863,0,0.361429435609251
"p_aug","Covariates + Phthalate",2239,0.22,0.474318892362662,0.45020098258151,0.327378293881197,0,0.357863515076557
"p_aug","Covariates + Phthalate",2239,0.23,0.474318892362662,0.446627958910228,0.318892362661903,0,0.351374396037192
"p_aug","Covariates + Phthalate",2239,0.24,0.474318892362662,0.444394819115677,0.307726663689147,0,0.347217977950683
"p_aug","Covariates + Phthalate",2239,0.25,0.474318892362662,0.438142027690933,0.297454220634212,0,0.338990620812863
"p_aug","Covariates + Phthalate",2239,0.26,0.474318892362662,0.435015631978562,0.289861545332738,0,0.333172386321113
"p_aug","Covariates + Phthalate",2239,0.27,0.474318892362662,0.43099598034837,0.278695846359982,0,0.327916694708376
"p_aug","Covariates + Phthalate",2239,0.28,0.474318892362662,0.427422956677088,0.270209915140688,0,0.322341323011265
"p_aug","Covariates + Phthalate",2239,0.29,0.474318892362662,0.425189816882537,0.262617239839214,0,0.317923620328492
"p_aug","Covariates + Phthalate",2239,0.3,0.474318892362662,0.420723537293435,0.25502456453774,0,0.311427295348689
"p_aug","Covariates + Phthalate",2239,0.31,0.474318892362662,0.418043769539973,0.246092005359536,0,0.307480694668298
"p_aug","Covariates + Phthalate",2239,0.32,0.474318892362662,0.416257257704332,0.238052702099151,0,0.304232456716496
"p_aug","Covariates + Phthalate",2239,0.33,0.474318892362662,0.41223760607414,0.232246538633318,0,0.29784751988161
"p_aug","Covariates + Phthalate",2239,0.34,0.474318892362662,0.408217954443948,0.223760607414024,0,0.29294733850339
"p_aug","Covariates + Phthalate",2239,0.35,0.474318892362662,0.403305046895936,0.21527467619473,0,0.287387913560312
"p_aug","Covariates + Phthalate",2239,0.36,0.474318892362662,0.399732023224654,0.206788744975435,0,0.283413354175971
"p_aug","Covariates + Phthalate",2239,0.37,0.474318892362662,0.396158999553372,0.199196069673962,0,0.279170831649617
"p_aug","Covariates + Phthalate",2239,0.38,0.474318892362662,0.39258597588209,0.193389906208129,0,0.274056678528721
"p_aug","Covariates + Phthalate",2239,0.39,0.474318892362662,0.384993300580616,0.187583742742296,0,0.265062710958493
"p_aug","Covariates + Phthalate",2239,0.4,0.474318892362662,0.378740509155873,0.178204555605181,0,0.259937472085753
"p_aug","Covariates + Phthalate",2239,0.41,0.474318892362662,0.37248771773113,0.170165252344797,0,0.254237288135593
"p_aug","Covariates + Phthalate",2239,0.42,0.474318892362662,0.365788298347477,0.165698972755695,0,0.245799387041629
"p_aug","Covariates + Phthalate",2239,0.43,0.474318892362662,0.360875390799464,0.160339437248772,0,0.239917569717057
"p_aug","Covariates + Phthalate",2239,0.44,0.474318892362662,0.357302367128182,0.15676641357749,0,0.234128756460154
"p_aug","Covariates + Phthalate",2239,0.45,0.474318892362662,0.351496203662349,0.150960250111657,0,0.227983271752812
"p_aug","Covariates + Phthalate",2239,0.46,0.474318892362662,0.348816435908888,0.146493970522555,0,0.224025275834119
"p_aug","Covariates + Phthalate",2239,0.47,0.474318892362662,0.344350156319786,0.139794551138901,0,0.220381403423024
"p_aug","Covariates + Phthalate",2239,0.48,0.474318892362662,0.338990620812863,0.135328271549799,0,0.214072216305356
"p_aug","Covariates + Phthalate",2239,0.49,0.474318892362662,0.334524341223761,0.130415364001787,0,0.209223305222044
"p_aug","Covariates + Phthalate",2239,0.5,0.474318892362662,0.330058061634658,0.124162572577043,0,0.205895489057615
